id,name,shortname,unit_id,unit
172,Land-sea mask,lsm,3,
173,Surface roughness (climatological),sr,4,
174,Albedo (climatological),al,3,
175,Surface long-wave (thermal) radiation downwards,strd,6,
176,Surface net short-wave (solar) radiation,ssr,6,
177,Surface net long-wave (thermal) radiation,str,6,
178,Top net short-wave (solar) radiation,tsr,6,
179,Top net long-wave (thermal) radiation,ttr,6,
180,Time-integrated eastward turbulent surface stress,ewss,14,
181,Time-integrated northward turbulent surface stress,nsss,14,
182,Evaporation,e,27,
183,Soil temperature level 3,stl3,2,
184,Soil wetness level 3,swl3,27,
185,Convective cloud cover,ccc,3,
186,Low cloud cover,lcc,3,
187,Medium cloud cover,mcc,3,
188,High cloud cover,hcc,3,
189,Sunshine duration,sund,12,
190,East-West component of sub-gridscale orographic variance,ewov,31,
191,North-South component of sub-gridscale orographic variance,nsov,31,
192,North-West/South-East component of sub-gridscale orographic variance,nwov,31,
193,North-East/South-West component of sub-gridscale orographic variance,neov,31,
194,Brightness temperature,btmp,2,
195,Eastward gravity wave surface stress,lgws,14,
196,Northward gravity wave surface stress,mgws,14,
197,Gravity wave dissipation,gwd,6,
198,Skin reservoir content,src,27,
199,Vegetation fraction,veg,3,
200,Variance of sub-gridscale orography,vso,31,
201,Maximum temperature at 2 metres since previous post-processing,mx2t,2,
202,Minimum temperature at 2 metres since previous post-processing,mn2t,2,
203,Ozone mass mixing ratio,o3,21,
204,Precipitation analysis weights,paw,7,
205,Runoff,ro,4,
206,Total column ozone,tco3,22,
207,10 metre wind speed,10si,5,
208,"Top net short-wave (solar) radiation, clear sky",tsrc,6,
209,"Top net long-wave (thermal) radiation, clear sky",ttrc,6,
210,"Surface net short-wave (solar) radiation, clear sky",ssrc,6,
211,"Surface net long-wave (thermal) radiation, clear sky",strc,6,
212,TOA incident short-wave (solar) radiation,tisr,6,
213,Vertically integrated moisture divergence,vimd,22,
214,Diabatic heating by radiation,dhr,2,
215,Diabatic heating by vertical diffusion,dhvd,2,
216,Diabatic heating by cumulus convection,dhcc,2,
217,Diabatic heating large-scale condensation,dhlc,2,
218,Vertical diffusion of zonal wind,vdzw,5,
219,Vertical diffusion of meridional wind,vdmw,5,
220,East-West gravity wave drag tendency,ewgd,5,
221,North-South gravity wave drag tendency,nsgd,5,
222,Convective tendency of zonal wind,ctzw,5,
223,Convective tendency of meridional wind,ctmw,5,
224,Vertical diffusion of humidity,vdh,21,
225,Humidity tendency by cumulus convection,htcc,21,
226,Humidity tendency by large-scale condensation,htlc,21,
227,Tendency due to removal of negative humidity,crnh,21,
228,Total precipitation,tp,4,
229,Instantaneous eastward turbulent surface stress,iews,32,
230,Instantaneous northward turbulent surface stress,inss,32,
231,Instantaneous surface sensible heat net flux,ishf,76,
232,Instantaneous moisture flux,ie,33,
233,Apparent surface humidity,asq,21,
234,Logarithm of surface roughness length for heat (climatological),lsrh,106,
235,Skin temperature,skt,2,
236,Soil temperature level 4,stl4,2,
237,Soil wetness level 4,swl4,4,
238,Temperature of snow layer,tsn,2,
